"","PCA1","PCA2","dep_delayed_15min"
"82937",-1.16654784217777,-0.915148131148211,"N"
"13218",1.67034200649037,-1.08674659605548,"Y"
"61911",-0.759350039789258,-0.0862687700535334,"N"
"41230",2.08684415134806,-0.781213282436186,"N"
"79035",-0.901679337935174,0.0352611527452927,"N"
"45025",-0.726521001113383,-1.06695505668883,"N"
"50453",0.393193772380608,-0.662372751175829,"Y"
"90442",-1.82957726466775,-1.06032300785883,"Y"
"61257",0.636122640347115,-0.890444922465826,"Y"
"42709",0.332056164973411,1.69561016241518,"N"
"17513",0.140209178161483,-0.397502799615551,"N"
"878",0.248905026627492,1.03295512760179,"Y"
"56997",1.31386329241341,-1.28293699834362,"N"
"97130",-1.64014844152326,-0.74759548333827,"Y"
"97881",-0.556370240532135,-0.0337133864751735,"Y"
"52052",-0.427142188841925,0.805715185141135,"Y"
"47430",-0.283093083591422,0.920172602061403,"N"
"67066",-0.42949022738954,-1.06090921821245,"Y"
"31302",0.392835035285543,1.45060825331471,"N"
"28712",-0.515854954003623,-0.279251087139106,"Y"
"70169",-0.286850288713802,1.25671981273694,"N"
"20728",-0.458622913454388,-0.446422683094286,"N"
"59827",0.209198206850976,-0.133701822751881,"N"
"95622",0.348164393880599,1.47745085870787,"N"
"96898",1.63234282657455,0.505263056220156,"N"
"5522",-0.272961729153302,-1.24715110980163,"N"
"87758",-1.40519704181489,-0.0465749924283718,"Y"
"88257",-0.303312912762927,-0.0223215134030043,"N"
"31219",2.18083949016394,-0.132373787428046,"N"
"50943",-0.376740405238416,-0.522362512639656,"Y"
"94022",1.39863252537586,-1.87877659697698,"N"
"91751",0.0448536442434655,0.939872576456191,"N"
"49617",0.0519499121995168,1.14671274064145,"Y"
"81625",-1.13363302780054,0.192931359228232,"N"
"81241",2.94088079273491,-1.48074027838754,"N"
"42094",-0.314575255521594,0.871428611938579,"N"
"29837",-0.529551397216425,-0.571602595461796,"N"
"42908",-0.648423515845213,-0.458673155503614,"N"
"83248",1.55910977267185,0.340788963299165,"N"
"41517",-0.426012361633923,0.513394103074123,"N"
